speed_bin_mph,total_time_s,distance_miles,fuel_gal,mpg
57,29.970999999999776,0.4782749171083314,0.02610210836923866,18.323229309398567
58,15.551000000000613,0.25234152343160965,0.013527397999609852,18.654106535409657
59,20.3570000000002,0.33538226051134584,0.01990873023342314,16.845989502047697
60,10.93699999999808,0.1839778800347223,0.012502012058817178,14.715861668439993
61,6.977000000000771,0.11921623104101949,0.007618698831998508,15.64784665595544
62,4.06400000000076,0.0705350002753756,0.007831479103922602,9.006600073802954
63,2.458999999999378,0.04332169519166721,0.0057176683408889485,7.576811491820775
64,4.4290000000014516,0.07916709069596527,0.00903602494312272,8.76127403302699
65,5.115999999999531,0.09319951394435518,0.008763862967260939,10.634524329341925
66,4.572000000000116,0.08442175304012256,0.006185134085094922,13.649138705588298
67,8.771999999998116,0.16431217792085376,0.01251860561708028,13.125437684263144
68,5.82700000000068,0.11097942306842144,0.011357694033594217,9.771298886918622
69,1.2120000000004438,0.023400019221824768,0.003134643488764476,7.464969877977389
70,0.7160000000003492,0.014018447151533454,0.0013179176786533614,10.636815469276806
71,0.5399999999995089,0.010713106714240892,0.001446354249147918,7.406972891013554
72,0.5199999999999818,0.01046479205591824,0.0016994359001388133,6.157803336426784
73,0.7280000000000655,0.014894727375830124,0.002093423194128446,7.115010198418691
74,0.5109999999999673,0.010586535885789691,0.0010038198489575895,10.546250800662303
75,1.0300000000002,0.021584424402921357,0.0028208867626738957,7.6516451098028675
76,0.03099999999994907,0.0006568012996400604,1.7061111714769052e-05,38.4969813585768
