gear,speed_bin_mph,tcc_state,total_time_s,distance_miles,fuel_gal,mpg
2.0,26,PARTIAL,0.09999999999990905,0.0007256342577403085,7.534968666875529e-05,9.630222630258157
2.0,27,OPEN,2.484999999999445,0.019039717599789972,0.006028782300992469,3.1581365272810764
2.0,28,OPEN,1.4939999999996871,0.011848747084696824,0.004256385333224304,2.7837580851076615
2.0,29,OPEN,1.971000000000231,0.016148398408990655,0.005549225134111128,2.9100276198430532
2.0,30,OPEN,1.2529999999994743,0.010604916652022425,0.0036663590443305684,2.8924926674656195
2.0,31,OPEN,2.548999999999751,0.022280705297658906,0.007495808774509091,2.9724217850151993
2.0,32,LOCKED,0.010000000000218279,8.975361665834802e-05,1.193177103177015e-05,7.522237597366343
2.0,32,OPEN,2.76299999999992,0.0249790824755617,0.00824217560978273,3.0306418666830814
2.0,32,PARTIAL,0.3279999999995198,0.0029774476044210655,0.0002398592081453632,12.413313741186982
2.0,33,OPEN,1.3489999999999327,0.012558175834636146,0.004573871457100539,2.745633748657424
2.0,34,OPEN,2.0349999999998545,0.019484261775656844,0.007310875261993827,2.6651065812799932
2.0,35,OPEN,1.1749999999994998,0.01156836391807834,0.004273387294805904,2.7070712575336033
2.0,36,OPEN,1.5000000000004547,0.015176617512224027,0.005708663244640076,2.6585238718492485
2.0,37,OPEN,1.0889999999999418,0.011360775714643192,0.004531429773582248,2.507106207598163
2.0,38,OPEN,0.7880000000004657,0.008425551714184175,0.0035235297158636783,2.391224821022668
2.0,39,OPEN,1.447999999999638,0.015896801957553275,0.00647891065303174,2.4536226549311233
2.0,40,OPEN,0.7129999999997381,0.008014427408981081,0.0032072942625095365,2.4988126292815487
2.0,40,PARTIAL,0.009000000000014552,0.00010161763790041431,4.9862474882681137e-05,2.0379581667276896
2.0,41,OPEN,1.2829999999999018,0.014754032940051601,0.0060999402268187616,2.418717625327637
2.0,41,PARTIAL,0.010999999999967258,0.00012735178444625982,6.094302485633034e-05,2.0896859771316616
2.0,42,OPEN,1.099999999999909,0.013011172646660624,0.005284553002023458,2.4621141356096987
2.0,42,PARTIAL,0.009999999999763531,0.00011837967944081181,5.509454914050214e-05,2.1486640926840135
2.0,43,OPEN,0.9680000000000746,0.011689676948599575,0.004679602727261551,2.498006268886897
2.0,43,PARTIAL,0.1910000000002583,0.0023110527309000766,0.0004633619980035495,4.987575029582752
2.0,44,OPEN,1.3429999999998472,0.016598396226732107,0.006477942089703028,2.562294629511428
2.0,44,PARTIAL,0.5279999999997926,0.0065027400947921515,0.0006613355759879924,9.83273897684618
2.0,45,OPEN,0.9789999999998145,0.012377408413649668,0.004715980327494269,2.6245674396665954
2.0,46,OPEN,0.8890000000005784,0.011491183930878309,0.004494299076142339,2.556835612449208
2.0,47,OPEN,1.1219999999998436,0.014816233346375888,0.006121787843392838,2.4202461315883146
2.0,47,PARTIAL,0.009000000000014552,0.00011961395450594341,5.8646195623603776e-05,2.0395859140401167
2.0,48,OPEN,0.5880000000001928,0.007912609075849005,0.003232650198081629,2.447715834068478
2.0,48,PARTIAL,0.05999999999994543,0.0008042522240639511,0.00038676549612206093,2.0794311595213597
2.0,49,OPEN,0.7700000000004366,0.010570816083986835,0.0044743652154230805,2.3625286660886253
2.0,49,PARTIAL,0.02099999999973079,0.0002863485577520792,0.00013252631293130554,2.1606921027110046
2.0,50,OPEN,0.7300000000000182,0.01026605234468073,0.004507481499370499,2.2775583984347922
2.0,51,OPEN,0.42200000000002547,0.006040545335520177,0.0027171268356113156,2.2231370491621303
2.0,52,OPEN,0.875,0.012755921720126804,0.005566928137172449,2.2913753161192743
2.0,52,PARTIAL,0.0909999999998945,0.0013208822776552454,0.0005235214971376492,2.523071707422067
2.0,53,OPEN,0.6720000000000255,0.00997896705749126,0.004235201107114885,2.356196743698237
2.0,54,OPEN,1.0289999999999964,0.01556280855338933,0.006524957177688015,2.3851204122237157
2.0,55,OPEN,1.0200000000008913,0.01575569249135657,0.006386335706970753,2.4670943110865697
2.0,56,LOCKED,0.04800000000022919,0.0007567239931998827,0.00018708302159003136,4.044856592375053
2.0,56,OPEN,0.9519999999993161,0.014952270161281244,0.00561720925212546,2.661868107481228
2.0,56,PARTIAL,0.10099999999965803,0.0015857496387711029,0.0005061028845583476,3.1332554845146015
2.0,57,LOCKED,0.06999999999970896,0.0011115640216637118,0.00019038948877952357,5.8383686451878365
2.0,57,OPEN,0.7680000000000291,0.012268584451835873,0.004676710699968239,2.62333619480016
2.0,57,PARTIAL,0.37100000000054933,0.0059274226100789204,0.0008215486911767742,7.214937682620573
2.0,58,OPEN,0.4989999999997963,0.00809748415492969,0.0029782063109836756,2.718913100501476
2.0,58,PARTIAL,0.03099999999994907,0.0005009646724344731,9.667963305035798e-05,5.181698116019258
2.0,59,OPEN,0.6190000000001419,0.010217861277693406,0.004189759305916266,2.4387704714361496
2.0,59,PARTIAL,0.021000000000185537,0.00034834069037132493,0.0001433133384055617,2.4306229569892324
