gear,speed_bin_mph,total_time_s,distance_miles,fuel_gal,mpg
3.0,62,0.27899999999999636,0.0048401636418671295,0.001370419178424861,3.5318855121615713
3.0,63,0.18100000000004002,0.0031880739868652744,0.0008831374443910439,3.609940906835368
3.0,64,0.30999999999994543,0.005545316617422995,0.0015569726895632273,3.5616017253190266
3.0,65,0.7220000000002074,0.013182090831217163,0.0029823268689367906,4.420069097226966
3.0,66,1.3690000000001419,0.025284380794861883,0.002796432239949354,9.041656877521842
3.0,67,2.2209999999986394,0.04159718998509073,0.005889502258978958,7.062938115300475
3.0,68,1.8880000000003747,0.03595041741429888,0.006416352559842927,5.602936727525918
3.0,69,0.7230000000004111,0.013965855964421181,0.002013598348388812,6.935770470608507
3.0,70,0.2070000000003347,0.0040600126624016405,0.0010503106558037995,3.86553505857229
3.0,71,0.25999999999976353,0.005155081471353173,0.0013588060735195428,3.793831637799955
3.0,72,0.2919999999999163,0.005874670236691308,0.0016140872264095263,3.6396237703703793
3.0,73,0.32700000000022555,0.006691391180484924,0.0019384549861239694,3.4519198167529654
3.0,74,0.23099999999976717,0.004786649370932396,0.0008897973206696795,5.379482787529487
3.0,75,0.7690000000002328,0.016128273340487595,0.0027095515950921146,5.9523772751554835
3.0,76,0.03099999999994907,0.0006568012996400604,1.7061111714769052e-05,38.4969813585768
4.0,20,0.28400000000067394,0.0016315062960107506,4.3491122676521916e-05,37.513547492106866
4.0,21,4.210000000000775,0.02522694746752907,0.0006033795089870844,41.809420260025874
4.0,22,16.463999999998975,0.10377693510224677,0.0024303183155399396,42.70096408304886
4.0,23,12.177000000001385,0.07979680906897035,0.0018280595825302243,43.65109859194156
4.0,24,32.23599999999823,0.21976248036824922,0.005878938293982583,37.38132114657305
4.0,25,20.900000000002365,0.14803055335176096,0.004280950645312095,34.57889744976704
4.0,26,54.99400000000054,0.4034564993046746,0.015442813487808717,26.125841617085005
4.0,27,81.05299999999812,0.6211390536687786,0.024430028352638928,25.425228522163515
4.0,28,32.3359999999991,0.2566224047967368,0.009704337251227352,26.444093826632066
4.0,29,79.58900000000062,0.6528778448493786,0.02962874938055466,22.03528189677362
4.0,30,39.37000000000148,0.3330340892342537,0.015894844328117698,20.952334125419668
4.0,31,115.44600000000196,1.005933515197072,0.05556834825866587,18.102634804161145
