gear_int,rpm_bin,n_samples,mean_phys_torque,mean_ecm_torque,mean_error_nm,ratio_phys_over_ecm
4,1250.0,1131,60.442836091058055,28.977112603904953,31.465723487153102,2.08588194818668
4,1350.0,214,59.74760132901547,36.84985328290935,22.897748046106116,1.6213796258647764
4,1450.0,58,62.31769476013218,37.06053241024655,25.257162349885625,1.6815110498224382
4,1550.0,56,70.03697986946162,42.67792600425357,27.359053865208047,1.6410586555326343
4,1650.0,34,85.90834775591036,37.88800084575294,48.020346910157414,2.2674288914227647
4,1750.0,40,105.64520966506495,17.93988816644,87.70532149862495,5.888844383249533
4,1850.0,20,82.33950633316013,15.497329652409999,66.84217668075013,5.3131415656732495
4,1950.0,24,115.39037626574464,8.182230640704168,107.20814562504047,14.102557277194288
4,2050.0,34,73.2054545762219,51.79463935223529,21.410815223986603,1.4133789807547446
4,2150.0,24,96.84597023903139,55.2506069979,41.59536324113139,1.7528489821426283
4,2250.0,7,89.46126514034187,56.252029186157145,33.20923595418472,1.5903651198836586
4,2350.0,8,80.12885748410034,158.8944724192125,-78.76561493511215,0.5042897733578533
4,2450.0,13,166.76714776497917,11.862016819661537,154.90513094531764,14.058920190414769
4,2550.0,26,97.30282132005595,20.406238297073077,76.89658302298288,4.768288006026685
4,2650.0,23,83.42945151458923,19.489204409447826,63.94024710514141,4.280803349476131
4,2750.0,16,82.65631557335603,18.4217790007,64.23453657265603,4.486880206858155
4,2850.0,10,115.06619910599741,80.80116340586,34.26503570013742,1.4240661180585477
4,2950.0,5,145.40125905217366,113.4519923965,31.949266655673654,1.2816104502071246
4,3050.0,4,41.213564775583954,166.05954318575,-124.84597841016603,0.24818546399036825
4,3150.0,1,115.06619910599741,183.1790364583,-68.11283735230259,0.6281624869895622
5,850.0,39,51.5877344748408,12.722815574146153,38.86491890069465,4.054741984916568
5,950.0,654,84.95581534868845,24.480497524450765,60.47531782423768,3.4703467633301086
5,1050.0,2011,87.39657712422272,26.759872231546392,60.63670489267632,3.2659564428410675
5,1150.0,2279,96.42380667252141,35.4494802472817,60.97432642523971,2.7200344264543985
5,1250.0,10833,102.90611387847225,113.70244231460036,-10.796328436128107,0.905047523902292
5,1350.0,8172,107.38180751833463,121.86199558791306,-14.480188069578432,0.8811755215420528
5,1450.0,136,120.1632338811086,76.63728556675441,43.52594831435418,1.5679474160973668
5,1550.0,64,126.16938708608338,38.52326780750469,87.64611927857868,3.27514757357901
5,1650.0,43,162.08302573699586,15.921000625525581,146.16202511147029,10.180454705663024
5,1750.0,41,121.3100031529821,17.747642590236584,103.56236056274552,6.835274180003926
5,1850.0,21,128.81745135229826,16.723935142580952,112.09351620971731,7.702580179488682
5,1950.0,19,116.85883505183095,13.293848021999999,103.56498702983095,8.79044463713149
5,2050.0,7,228.58632804793362,15.223807884614287,213.36252016331935,15.015056008355897
5,2150.0,8,93.63054748177365,15.8749622538125,77.75558522796115,5.898001266698289
6,750.0,7,-75.43819381946248,11.234475457114286,-86.67266927657677,-6.714883494777754
6,850.0,320,124.30175063591946,20.247212362416874,104.05453827350259,6.139203185651863
6,950.0,933,128.75349957409634,22.626134287556912,106.12736528653943,5.690477124274095
6,1050.0,963,132.29664238807982,25.985258789424716,106.3113835986551,5.091218966113238
6,1150.0,3029,148.98453804925356,72.10063232741189,76.88390572184167,2.066341628915385
6,1250.0,2655,158.5341751601611,95.85344591172603,62.680729248435085,1.6539225444869183
6,1350.0,743,170.371869263844,43.91637606336958,126.45549320047441,3.8794610242430787
6,1450.0,94,186.4768218108056,94.70083544663511,91.77598636417049,1.9691148544923576
6,1550.0,17,198.29263515933962,194.65837142261765,3.6342637367219766,1.0186699586057448
6,1650.0,9,160.04267924741237,220.38221778904443,-60.339538541632066,0.7262050489055762
6,1750.0,2,159.50318753947633,216.9896175987,-57.486430059223665,0.7350729002825429
6,1850.0,3,257.0487526248615,231.39947424653334,25.649278378328148,1.110844151491033
6,1950.0,5,157.41729679979434,234.49402930404003,-77.07673250424568,0.6713062045417386
6,2050.0,2,224.46908077773952,244.13006696425,-19.660986186510485,0.9194651177915353
6,2150.0,1,159.50318753947633,274.6853125,-115.18212496052368,0.5806760692364151
6,2250.0,4,159.50318753947633,286.479637276775,-126.97644973729868,0.5567697203741444
6,2350.0,3,159.50318753947633,304.91463541666667,-145.41144787719034,0.5231076800282636
