gear_int,rpm_bin,n_samples,mean_phys_torque,mean_ecm_torque,mean_error_nm,ratio_phys_over_ecm
4,950.0,533,-1.3627865731951356,20.53397624981576,-21.896762823010896,-0.06636739794648215
4,1050.0,856,1.1238240101208306,22.387048464099884,-21.263224453979053,0.05019973990421323
4,1150.0,758,-1.1151350310782278,30.641245923665963,-31.75638095474419,-0.036393266574612296
4,1250.0,1121,-2.017002155282832,29.03315767290598,-31.05015982818881,-0.0694723659757174
4,1350.0,210,-4.875377657192207,37.420272933207144,-42.29565059039935,-0.13028706834646694
4,1450.0,51,-9.066834991039682,41.18684269347843,-50.25367768451812,-0.22013911234995767
4,1550.0,51,-2.9568984433211853,46.167708607535296,-49.12460705085648,-0.06404689625073949
4,1650.0,31,11.739763935152464,44.63758795644517,-32.897824021292706,0.2630017541854515
4,1750.0,33,23.821048287960924,23.72826062558485,0.09278766237607528,1.0039104283217468
4,1850.0,20,0.0,15.497329652409999,-15.497329652409999,0.0
4,1950.0,20,32.75394141702609,18.936352550095002,13.81758886693109,1.7296858690382677
4,2050.0,32,0.0,56.9551268347125,-56.9551268347125,0.0
4,2150.0,18,0.0,88.78303589303333,-88.78303589303333,0.0
4,2250.0,7,0.0,56.252029186157145,-56.252029186157145,0.0
4,2350.0,5,-28.82346833622937,248.84842809534,-277.6718964315694,-0.1158274076989001
4,2450.0,8,79.99983081895843,12.8712998597875,67.12853095917093,6.215365323660418
4,2550.0,20,0.0,22.957691380445002,-22.957691380445002,0.0
4,2650.0,17,-45.51551164895581,21.669765423817648,-67.18527707277346,-2.1004155217540497
4,2750.0,13,0.0,19.262562066869233,-19.262562066869233,0.0
4,2850.0,10,0.0,80.80116340586,-80.80116340586,0.0
4,2950.0,5,30.827239055148727,113.4519923965,-82.62475334135128,0.27172056130501016
4,3050.0,4,-73.52925599252563,166.05954318575,-239.58879917827562,-0.4427884997267376
4,3150.0,1,0.0,183.1790364583,-183.1790364583,0.0
5,850.0,5,0.0,13.76093238544,-13.76093238544,0.0
5,950.0,601,-1.768533218799184,24.663579459722463,-26.432112678521648,-0.07170626719804948
5,1050.0,1932,-3.5634124940802603,26.87576896359017,-30.43918145767043,-0.13258829910719125
5,1150.0,2244,-0.8494564538733227,35.655337836255306,-36.50479429012863,-0.023824103357943015
5,1250.0,10820,-0.0794273918785549,113.84284138244836,-113.92226877432691,-0.000697693336831986
5,1350.0,8169,0.4068777404946721,121.92237182170777,-121.51549408121309,0.0033371868871585487
5,1450.0,136,5.600494580211369,76.63728556675441,-71.03679098654304,0.07307793509117823
5,1550.0,64,0.0,38.52326780750469,-38.52326780750469,0.0
5,1650.0,33,32.20874134709385,19.53386947168485,12.674871875409,1.648866416036093
5,1750.0,33,0.0,18.821082242063635,-18.821082242063635,0.0
5,1850.0,13,-37.38545866812907,22.461758644553846,-59.847217312682915,-1.6644047894795482
5,1950.0,10,0.0,19.00725858351,-19.00725858351,0.0
5,2050.0,4,127.54661583136158,17.74695499125,109.79966084011159,7.186957756654449
5,2150.0,7,-66.81013210356728,16.568790929214284,-83.37892303278157,-4.032287714233082
6,850.0,255,0.12206504577963495,22.17262085778706,-22.050555812007424,0.005505215038066441
6,950.0,885,-2.2656284792999197,23.26868217598441,-25.53431065528433,-0.09736814754547093
6,1050.0,873,-3.1343334196500043,29.756371887523713,-32.89070530717372,-0.10533318482164056
6,1150.0,2831,-2.826817489194563,79.35134312610731,-82.17816061530188,-0.0356240660564763
6,1250.0,2549,-2.5995945834865926,101.2684901360036,-103.8680847194902,-0.02567032035330374
6,1350.0,556,-0.40820989562609983,69.47160054348255,-69.87981043910865,-0.005875924729423783
6,1450.0,84,6.591971560329985,101.75905121044404,-95.16707965011406,0.06478019873335275
6,1550.0,14,0.0,236.2286448662,-236.2286448662,0.0
6,1650.0,8,0.0,247.24505661123752,-247.24505661123752,0.0
6,1750.0,2,0.0,216.9896175987,-216.9896175987,0.0
6,1850.0,3,101.59604546056676,231.39947424653334,-129.8034287859666,0.439050459346879
6,1950.0,5,0.0,234.49402930404003,-234.49402930404003,0.0
6,2050.0,2,64.95627377182711,244.13006696425,-179.1737931924229,0.26607240386059944
6,2150.0,1,0.0,274.6853125,-274.6853125,0.0
6,2250.0,4,0.0,286.479637276775,-286.479637276775,0.0
6,2350.0,3,0.0,304.91463541666667,-304.91463541666667,0.0
