gear,rpm_center,pedal_center,n_samples,eng_torque_mean,eng_torque_p50,eng_torque_p75,axle_torque_mean,cyl_airmass_mean,cyl_airmass_p50,airflow_mass_mean,map_kpa_mean,ve_mgk_kpa_mean,ve_airflow_mean,spark_mean,spark_p50,knock_p95,lambda_eq_mean,coverage_ok
4,3075.0,55.0,1214,414.90444927561344,421.6315341853,423.731121591275,1261.9886252959532,0.7423637099600494,0.7409297964999999,149.0134810669458,14.295492137563098,2061.6676317698384,152.60595670405732,12.962650166130809,14.5,0.0,0.9003484970036244,True
4,3075.0,65.0,35,377.1114538200572,377.9518303571,388.2551339286,1191.1655511889996,0.7489492766171428,0.748875,141.43507843262572,14.34853018684857,2079.28264008534,147.5564052252314,6.785950425225714,10.5,0.0,0.9544315486742858,True
4,3075.0,75.0,72,421.2756435180861,419.66174832965,428.1899374136,1124.2376134162305,0.742569469611111,0.7431205356999999,156.63758350277223,14.28829146620278,2069.126052784503,154.72508660172778,8.036930503777777,13.20833333335,0.0,0.9376490300708332,True
4,3075.0,90.0,33,342.25679431150604,333.3877878289,339.5776932566,1158.7976051303758,0.737162968760606,0.7382032609,170.2875536555909,14.196092776551517,2068.602177466233,172.51607259196967,4.527336533436364,5.0,0.0,0.9381772073666668,True
4,3325.0,45.0,1461,426.1077345454663,428.4762105856,429.6022890356,1288.8280567572128,0.7554509100030116,0.7575742925,160.89587865489773,14.113440450782822,2078.942633091008,158.13250202349522,14.013380146990418,14.0,0.0,0.881827475387406,True
4,3325.0,55.0,2256,423.8338647297909,430.0227861564,432.15811375015,1294.3755785918968,0.7592996157358156,0.7615304975499999,164.2273505780947,14.153855815693706,2090.344108712059,163.8714602996233,13.636476948210372,13.63,0.0,0.8850973359702571,True
4,3325.0,65.0,75,385.8279615323,377.6760648596,398.38823610915,1252.118907601341,0.7561806452946667,0.756535967,159.93452572581333,14.336156652441332,2092.497823359321,162.34407206577066,12.350039021764,13.5,0.0,0.9182292005813334,True
4,3325.0,75.0,102,421.5298151331805,426.96951960885,432.448094517425,1210.992899877706,0.7481349811499998,0.74871720795,169.2563375743304,14.272972729808822,2076.1010688027704,165.99088307699117,12.722349795307842,14.29901960785,0.0,0.9163647706666668,True
4,3325.0,90.0,44,371.7670318539659,346.93249707555003,419.2615401785501,1215.8986290837886,0.7500396142568182,0.7499,172.8546769110523,14.202851971184089,2082.903599533057,178.23677796712954,14.103073183818184,14.5,0.0,0.9148138167136364,True
4,3575.0,55.0,254,409.4697403009649,427.78764206685,430.04649212367497,1473.4096601063825,0.740385394707874,0.7455909810000001,159.045386477648,12.99088576168937,2088.027607920544,157.89922216496572,12.338182550929922,14.0955102041,0.0,0.8774042079000001,True
