gear,speed_center,pedal_center,n_samples,eng_torque_mean,eng_torque_p50,axle_torque_mean,cyl_airmass_mean,cyl_airmass_p50,airflow_mass_mean,map_kpa_mean,ve_mgk_kpa_mean,spark_mean,spark_p50,knock_p95,lambda_eq_mean,coverage_ok
4,46.25,35.0,296,278.81959046199967,278.32219945935003,984.6013338972631,0.5117825420672297,0.5070173837,71.53382950766994,10.211251276372636,,21.58010793193885,21.5507142857,0.0,0.9947394995125002,True
4,48.75,27.5,31,230.88180479487414,230.6883419968,846.2608299919872,0.4679018769000001,0.4668199627,67.54862599773871,9.80504186766774,,23.782693722645163,24.0,0.0,0.9945351698548388,True
4,51.25,45.0,91,365.2035076826989,365.130275451,1449.5154086385987,0.6578098379285713,0.6555712025,122.9382288704989,13.199090644735161,,17.09819766041209,18.5,0.0,0.9991857761703299,True
4,53.75,45.0,127,371.6331637119433,378.6268271169,1374.951141128348,0.6966599399614173,0.6987373348,122.88538287551262,13.788466391989763,,14.821008427813386,15.5,0.0,0.997510168296063,True
4,53.75,55.0,31,375.6738693425968,375.4812080169,1504.810515675587,0.7330097533451614,0.7344037559,133.88552744433548,14.073286688948382,,15.010998963761288,15.0,0.0,0.9869050504064517,True
4,56.25,45.0,85,392.21922916824485,392.2329343972,1387.3481812171142,0.71472686824,0.715152,130.81986085696,14.438000141932946,,15.293558672182355,15.5,0.0,0.9986749713541175,True
4,58.75,45.0,114,372.31394571335613,393.24819711535,1322.926989201792,0.7047838968482456,0.7180239835,134.4953817486623,14.078329591532457,,15.670659834564912,15.0,0.0,1.0002110332596492,True
4,61.25,45.0,198,386.3233466368899,393.19634721504997,1241.0033946685244,0.7233596869040403,0.71941451035,134.05175891399747,14.274341959663131,,13.252240582901516,14.82352941175,0.0,0.9989619371464649,True
4,61.25,55.0,85,416.1749456149188,415.899717206,1436.1045277625951,0.7471042779435294,0.7469022634,151.67454426465645,14.410048060048238,,10.889517736507056,14.5,0.0,0.9737643155199999,True
4,63.75,45.0,280,397.52384178024965,399.20155654925,1240.5771553685022,0.7199866484546429,0.7245745087,126.0635216385993,14.191315088146071,,14.669266891661069,15.0,0.0,0.9982453958057144,True
4,66.25,45.0,136,392.0501761424691,389.6536389207,1237.8554758386383,0.7143402078536765,0.7108007812499999,126.21682341011838,13.993654202243382,,15.070299289588968,15.8101851852,0.0,0.9973925704389707,True
4,66.25,55.0,82,430.31181985400974,431.08196051305003,1695.2697408187003,0.7629722032878049,0.76995877105,161.57431948679027,13.99729059064756,,11.754937291990242,13.5,0.0,0.8712047230146341,True
4,68.75,45.0,163,398.7881891938172,400.4844023803,1183.9330388903436,0.7324835634337423,0.7337676941,150.62065547032086,14.331575570005523,,12.114129413993865,13.5,0.0,1.0067910263343558,True
4,68.75,55.0,180,417.32799569017,422.76421478509997,1371.9886818306145,0.7274453714488889,0.73188524795,146.2915290394072,14.005298637671114,,13.401127903203335,15.0,0.0,0.8860323125677777,True
4,68.75,75.0,29,408.6823330346793,408.9264396067,1244.4196607265417,0.7369375143862068,0.7389464286,146.48651818785518,14.361985208093106,,11.160132355327587,14.6428571429,0.0,0.9052124023482759,True
4,71.25,17.5,92,103.55157281215541,113.69192738545,325.8190862787804,0.23757808804565222,0.24134375000000002,48.84423389289893,5.990843748691304,,35.35449990268587,39.4166666667,0.0,1.0271461094739132,True
4,71.25,22.5,52,171.41450338577883,172.7636265589,459.8722043271577,0.32527749224807684,0.33672031965,56.63811857451925,7.173873807990384,,34.57999811094616,34.0,0.0,1.0103991982038463,True
4,71.25,45.0,519,388.8453198472079,398.3442672038,1222.9085375231364,0.7334766982464355,0.7330641593,144.68297512548864,14.20932599869422,,13.16649909574528,14.0,0.0,0.9995612727314066,True
4,71.25,55.0,245,408.53200033204405,419.6397925205,1311.9808805896682,0.740152844702449,0.7390566667,137.4074649365951,14.3598232959098,,14.255778480152653,14.5,0.0,0.9103888871808165,True
4,71.25,75.0,45,424.1739281142778,427.0700467687,1291.928877457733,0.7498363376311112,0.7491886792,169.41958739517557,14.39835159734,,11.582679928544444,14.3854166667,0.0,0.8915460759999999,True
4,73.75,45.0,503,410.35392563040455,412.6321231618,1269.8330814511128,0.7427265978139165,0.7424906977,152.1873026375499,14.351372273863621,,13.394953753012127,14.0096153846,0.0,0.9421315354783301,True
