gear,old_tcc_state,new_tcc_state,time_s,speed_mph,slip_rpm,abs_slip_rpm,tcc_line_psi,tcc_desired_slip,brake_pressure,pedal_pct,throttle_pct,delivered_engine_torque,trans_engine_torque,driver_axle_tq_req,tcs_request,tcs_system,tcs_desired_torque,tcs_engine_torque_req,trans_fluid_temp,reason,pre_mean_speed_mph,pre_mean_pedal_pct,pre_mean_pedal_rate,pre_mean_throttle_pct,pre_mean_slip_rpm,pre_mean_tcc_line_psi,pre_mean_brake_pressure,pre_max_brake_pressure,pre_mean_delivered_engine_torque,pre_mean_trans_engine_torque,pre_mean_driver_axle_tq_req,pre_mean_tcs_desired_torque,pre_mean_tcs_engine_torque_req,pre_any_tcs_request,post_mean_speed_mph,post_mean_pedal_pct,post_mean_pedal_rate,post_mean_throttle_pct,post_mean_slip_rpm,post_mean_tcc_line_psi,post_mean_brake_pressure,post_max_brake_pressure,post_mean_delivered_engine_torque,post_mean_trans_engine_torque,post_mean_driver_axle_tq_req,post_mean_tcs_desired_torque,post_mean_tcs_engine_torque_req,post_any_tcs_request
5,LOCKED,PARTIAL,4235.913,48.4669529945,50.15625,50.15625,30.814672282,12.0,0.0,14.9019607843,20.4901960784,120.9118692193,115.6743304117,246.4741726971,No,On,266.640625,265.5223737398,152.6,TRACTION,48.46695299450002,14.657918552022998,1.7164099516953826,20.428281243803,42.369205309142,29.103135551020998,0.0,0.0,115.47303057031898,113.20621605428799,231.488312995656,266.640625,265.52237373980006,1.0,48.46695299450001,14.648445236695958,-0.39611804312266696,20.282788671027273,25.547149585409088,32.25006553607071,0.0,0.0,120.13349962971012,118.20665613838486,244.9276526322525,266.640625,265.52237373980006,1.0
5,PARTIAL,LOCKED,4235.922,48.4669529945,49.689516129,49.689516129,30.8664114268,12.0,0.0,14.9019607843,20.5254901961,120.9141645131,115.4284763619,246.4445385036,No,On,266.640625,265.5223737398,152.6,TRACTION,48.46695299450002,14.673604826533,1.7164099516953826,20.444947910469,42.695689684141996,29.112463583340006,0.0,0.0,115.638791473576,113.34512359240202,231.85917937801298,266.640625,265.52237373980006,1.0,48.46695299450001,14.644484056264643,-0.39611804312266696,20.27748068924849,25.158708725193943,32.26204882036263,0.0,0.0,120.09381534945352,118.19920601566469,244.90183247111716,266.640625,265.52237373980006,1.0
5,LOCKED,OPEN,4272.663,40.7743776346,-273.2822580645,273.2822580645,0.0,12.0,675.00016875,0.0,5.2235294118,8.5811811852,16.6873436274,-15.2557293621,No,On,266.640625,265.5223737398,149.0,BRAKE,,,,,,,,,,,,,,,39.642390997601,0.0,0.0,7.690185383237999,133.609311159735,0.0,881.7181375964178,1050.0002625001,8.492689290742,10.883385089317999,-12.032589114807998,266.640625,265.52237373980006,1.0
5,OPEN,PARTIAL,4273.062,39.7677563032,-118.125,118.125,0.0,12.0,900.0002250001,0.0,8.1215686275,9.0172644106,11.0634322392,-12.1966098448,No,On,266.640625,265.5223737398,149.0,BRAKE,40.4224088973325,0.0,-11.982570807302636,7.251342840167498,179.5667570229075,0.0,738.2324774752675,900.0002250001,8.794222595529998,14.947838848735,-13.761245973847503,266.640625,265.5223737398,1.0,39.12358751923115,0.0,0.0,7.926520752354098,105.23802714133936,0.0,973.6477843955919,1050.0002625001,8.265953161950819,8.21658690845082,-10.934678756760656,266.640625,265.52237373979995,1.0
5,PARTIAL,OPEN,4273.214,39.7677563032,-124.75,124.75,0.0,12.0,975.0002437501,0.0,8.2352941176,8.9039522059,11.5244085825,-11.0312309811,No,On,266.640625,265.5223737398,149.0,BRAKE,40.2438672807509,0.0,-8.714596950765554,7.517055042392728,161.44857944330178,0.0,786.2509550479488,975.0002437501,8.864856704965456,13.404088145996363,-13.18578788511091,266.640625,265.5223737397999,1.0,38.913532480980436,0.0,0.0,7.8265157973608686,102.5194145034,0.0,991.369813059883,1050.0002625001,8.011700872430433,7.85738110851739,-10.726354093454349,266.640625,265.5223737397999,1.0
5,OPEN,PARTIAL,4273.254,39.6559094886,-119.0,119.0,0.0,12.0,975.0002437501,0.0,8.2352941176,8.7515721749,12.1928242802,-10.7245523327,No,On,266.640625,265.5223737398,149.0,BRAKE,40.211588570408466,0.0,-8.123776818510262,7.56574921698305,158.88422601388814,0.0,799.0475169938577,975.0002437501,8.863826882245762,13.315301333408474,-13.032309161550847,266.640625,265.5223737398,1.0,38.834840850640475,0.0,0.0,7.787584528766667,100.64632385044285,0.0,992.9288196608144,1050.0002625001,7.935522687699999,7.437932967923809,-10.715025240402381,266.640625,265.52237373979995,1.0
5,PARTIAL,OPEN,4273.283,39.146385111,-121.0,121.0,0.0,12.0,975.0002437501,0.0,8.2352941176,8.6410966525,10.7578707773,-10.5022103127,No,On,266.640625,265.5223737398,149.0,BRAKE,40.17948937257903,0.0,-7.730690843421056,7.598146550883871,156.9703579348758,0.0,807.5613586110953,975.0002437501,8.856797670275807,13.220094864896774,-12.917428329166128,266.640625,265.52237373979995,1.0,38.79303140150514,0.0,0.0,7.7531453296256405,99.1577626814282,0.0,994.3079408847159,1050.0002625001,7.878122023107691,7.173975261620511,-10.72510477538718,266.640625,265.52237373979983,1.0
5,OPEN,PARTIAL,4273.314,39.146385111,-119.0,119.0,0.0,12.0,975.0002437501,0.0,8.1441869677,8.5230021285,11.4111401095,-10.3438229211,No,On,266.640625,265.5223737398,149.0,BRAKE,40.13180763742923,0.0,-7.3738897275708535,7.626578301858461,155.29827689867537,0.0,815.2893071559722,975.0002437501,8.84496679215077,13.120718691433847,-12.800884735375387,266.640625,265.5223737398,1.0,38.763585259047225,0.0,0.0,7.717257542758334,97.41463717011389,0.0,995.9169156459336,1050.0002625001,7.821207430347221,6.831414793094444,-10.757236728905557,266.640625,265.5223737397999,1.0
5,PARTIAL,LOCKED,4312.654,39.146385111,47.625,47.625,0.0,12.0,0.0,8.2352941176,8.5568627451,25.6416236204,40.7443606657,56.561659168,No,On,266.640625,265.5223737398,149.0,TRACTION,39.24016079638183,8.376373082232325,-1.9434637675450765,9.439476122558586,83.98820298500505,0.0,0.0,0.0,31.38534628404344,32.63128609955657,154.7996286671889,266.640625,265.52237373980006,1.0,39.146385111,8.372549019566003,1.308887191259795,8.545858507413,41.591712322159,0.0,0.0,0.0,40.797833761567006,40.084066868181004,61.046414658539014,266.640625,265.52237373980006,1.0
5,LOCKED,PARTIAL,4313.154,39.146385111,55.875,55.875,0.0,12.0,0.0,8.2352941176,8.9522677758,42.5969515142,42.6358506937,57.2984844919,No,On,266.640625,265.5223737398,149.0,TRACTION,39.240160796381815,8.199643493718183,0.3961180431586937,8.814421957152527,42.57171085025051,0.0,0.0,0.0,25.595391425510098,29.829840502951516,61.89216092828282,266.640625,265.52237373980006,1.0,39.146385111,9.823227752634995,4.107308813235876,10.360079482451999,60.006331028433,0.0,0.0,0.0,51.66603749853101,46.208888731615986,80.382723613239,266.640625,265.52237373980006,1.0
