gear,speed_bin_mph,pedal_bin_pct,LOCKED,OPEN,PARTIAL,total_time_s,frac_locked,frac_partial,frac_open
3,22,17,0.0,3.117000000000189,0.01900000000023283,3.136000000000422,0.0,0.006058673469461184,0.9939413265305388
3,22,18,0.0,3.2950000000001864,0.0,3.2950000000001864,0.0,0.0,1.0
3,22,19,0.0,3.6120000000003074,0.0,3.6120000000003074,0.0,0.0,1.0
3,22,20,0.0,2.090999999999724,0.0,2.090999999999724,0.0,0.0,1.0
3,22,21,0.0,1.0989999999993074,0.0,1.0989999999993074,0.0,0.0,1.0
3,22,23,0.0,0.209999999999809,0.0,0.209999999999809,0.0,0.0,1.0
3,22,24,0.0,0.278999999999769,0.0,0.278999999999769,0.0,0.0,1.0
3,22,25,0.0,0.009000000000014552,0.0,0.009000000000014552,0.0,0.0,1.0
3,22,28,0.0,0.010000000000218279,0.0,0.010000000000218279,0.0,0.0,1.0
3,22,29,0.0,0.021999999999934516,0.0,0.021999999999934516,0.0,0.0,1.0
3,22,30,0.0,0.009999999999763531,0.0,0.009999999999763531,0.0,0.0,1.0
3,22,31,0.0,0.010000000000218279,0.0,0.010000000000218279,0.0,0.0,1.0
3,22,32,0.0,0.021999999999934516,0.0,0.021999999999934516,0.0,0.0,1.0
3,22,33,0.0,0.018000000000029104,0.0,0.018000000000029104,0.0,0.0,1.0
3,22,40,0.0,0.15299999999979264,0.03900000000021464,0.19200000000000728,0.0,0.20312500000111022,0.7968749999988898
3,22,41,0.0,0.26099999999996726,0.0,0.26099999999996726,0.0,0.0,1.0
3,23,0,0.0,0.11100000000010368,0.37000000000000455,0.48100000000010823,0.0,0.7692307692306056,0.2307692307693944
3,23,7,0.0,0.08899999999994179,0.0,0.08899999999994179,0.0,0.0,1.0
3,23,8,0.1390000000001237,0.11200000000008004,0.18999999999959982,0.44099999999980355,0.3151927437645932,0.4308390022668582,0.2539682539685486
3,23,10,0.0,0.0,1.6109999999998763,1.6109999999998763,0.0,1.0,0.0
3,23,11,0.0,0.0,0.2110000000002401,0.2110000000002401,0.0,1.0,0.0
3,23,12,0.0,0.38899999999966894,0.2790000000004511,0.66800000000012,0.0,0.41766467065928287,0.5823353293407171
3,23,13,0.0,0.8090000000001965,0.03999999999996362,0.8490000000001601,0.0,0.04711425206119679,0.9528857479388032
3,23,14,0.0,0.02999999999974534,0.18000000000029104,0.21000000000003638,0.0,0.8571428571440945,0.14285714285590545
3,23,15,0.0,0.3500000000003638,0.09099999999943975,0.44099999999980355,0.0,0.20634920634802786,0.7936507936519721
3,23,16,0.0,0.9049999999999727,0.0,0.9049999999999727,0.0,0.0,1.0
3,23,17,0.0,1.2810000000002333,0.0,1.2810000000002333,0.0,0.0,1.0
3,23,18,0.0,2.054000000000201,0.0,2.054000000000201,0.0,0.0,1.0
3,23,19,0.0,2.985000000000184,0.0,2.985000000000184,0.0,0.0,1.0
3,23,20,0.0,1.3139999999995666,0.0,1.3139999999995666,0.0,0.0,1.0
3,23,21,0.0,3.2320000000004825,0.0,3.2320000000004825,0.0,0.0,1.0
3,23,22,0.0,0.32100000000036744,0.0,0.32100000000036744,0.0,0.0,1.0
3,23,23,0.0,0.3199999999994816,0.0,0.3199999999994816,0.0,0.0,1.0
3,23,24,0.0,0.02100000000041291,0.0,0.02100000000041291,0.0,0.0,1.0
3,23,25,0.0,0.7210000000000036,0.0,0.7210000000000036,0.0,0.0,1.0
3,23,26,0.0,0.02999999999974534,0.0,0.02999999999974534,0.0,0.0,1.0
3,23,27,0.0,0.24899999999979627,0.010000000000218279,0.25900000000001455,0.0,0.038610038610879215,0.9613899613891208
3,23,28,0.010000000000218279,0.0,0.0500000000001819,0.06000000000040018,0.16666666666919305,0.833333333330807,0.0
3,23,29,0.06899999999950523,0.05099999999993088,0.0,0.11999999999943611,0.5749999999985789,0.0,0.4250000000014211
3,23,30,0.021000000000640284,0.11800000000016553,0.0,0.1390000000008058,0.151079136694378,0.0,0.848920863305622
3,23,31,0.0,0.03099999999994907,0.0,0.03099999999994907,0.0,0.0,1.0
3,23,32,0.0,0.06899999999995998,0.06900000000041473,0.1380000000003747,0.0,0.5000000000016477,0.4999999999983524
3,23,33,0.0,0.05999999999994543,0.019999999999527063,0.0799999999994725,0.0,0.24999999999573674,0.7500000000042633
3,23,34,0.0,0.009000000000014552,0.011000000000422006,0.020000000000436557,0.0,0.550000000009095,0.44999999999090506
3,24,0,0.05099999999993088,0.01999999999998181,0.70900000000006,0.7799999999999727,0.06538461538452905,0.9089743589744678,0.025641025641003217
3,24,1,0.04000000000007731,0.0,0.0,0.04000000000007731,1.0,0.0,0.0
3,24,2,0.019000000000005457,0.0,0.0,0.019000000000005457,1.0,0.0,0.0
3,24,3,0.07200000000000273,0.0,0.0,0.07200000000000273,1.0,0.0,0.0
3,24,4,0.04899999999997817,0.0,0.0,0.04899999999997817,1.0,0.0,0.0
3,24,5,0.4499999999999318,0.05099999999993088,0.1290000000000191,0.6299999999998818,0.7142857142857401,0.2047619047619735,0.08095238095228643
3,24,6,0.0,0.07000000000005002,0.0,0.07000000000005002,0.0,0.0,1.0
3,24,7,0.0,0.019000000000005457,0.0,0.019000000000005457,0.0,0.0,1.0
3,24,8,0.0,0.01999999999998181,0.03099999999994907,0.05099999999993088,0.0,0.6078431372547272,0.3921568627452729
3,24,9,0.0,0.02100000000007185,0.0,0.02100000000007185,0.0,0.0,1.0
3,24,10,0.0,0.019000000000005457,1.1090000000003783,1.1280000000003838,0.0,0.9831560283687952,0.01684397163120478
3,24,11,0.009999999999990905,0.03099999999994907,4.09900000000016,4.1400000000001,0.0024154589371958124,0.9900966183575026,0.0074879227053015265
3,24,12,0.0,0.3500000000002501,0.7919999999990068,1.141999999999257,0.0,0.6935201401046603,0.3064798598953396
3,24,13,0.0,0.37200000000007094,0.03000000000020009,0.40200000000027103,0.0,0.0746268656720892,0.9253731343279108
3,24,14,0.0,4.095000000000141,0.023000000000138243,4.118000000000279,0.0,0.005585235551271657,0.9944147644487283
3,24,15,0.0,0.3910000000001901,0.06700000000000728,0.45800000000019736,0.0,0.14628820960693975,0.8537117903930602
3,24,16,0.0,2.852000000000203,0.1499999999996362,3.001999999999839,0.0,0.04996668887396544,0.9500333111260345
3,24,17,0.0,2.0659999999990646,0.0,2.0659999999990646,0.0,0.0,1.0
3,24,18,0.0,6.738999999999692,0.0,6.738999999999692,0.0,0.0,1.0
3,24,19,0.0,3.9680000000001883,0.0,3.9680000000001883,0.0,0.0,1.0
3,24,20,0.0,2.22199999999998,0.0,2.22199999999998,0.0,0.0,1.0
