gear,speed_bin_mph,pedal_bin_pct,LOCKED,OPEN,PARTIAL,total_time_s,frac_locked,frac_partial,frac_open,LOCKED_smoothed,PARTIAL_smoothed,OPEN_smoothed,total_time_s_smoothed,frac_locked_smoothed,frac_partial_smoothed,frac_open_smoothed
3,21,14,0.0,0.01999999999998181,0.01999999999998181,0.03999999999996362,0.0,0.5,0.5,0.008000000000013009,0.03333333333330302,0.23388888888889092,0.27522222222220694,0.029067420266500235,0.12111425111011054,0.8498183286233892
3,21,16,0.05099999999947613,1.6000000000001364,0.01999999999998181,1.6709999999995944,0.030520646319263024,0.011968880909626969,0.95751047277111,0.0254444444444239,0.019111111111139206,1.1374444444444027,1.1819999999999657,0.0215266027448601,0.016168452716700303,0.9623049445384397
3,21,17,0.0,1.0029999999997017,0.0420000000001437,1.0449999999998454,0.0,0.04019138755995207,0.9598086124400479,0.0254444444444239,0.016888888888944267,1.530888888888872,1.5732222222222403,0.016173458577569917,0.01073522141397674,0.9730913200084533
3,21,18,0.0,0.5420000000000869,0.0,0.5420000000000869,0.0,0.0,1.0,0.0,0.007888888888929715,1.4447777777778266,1.4526666666667563,0.0,0.0054306256692950175,0.994569374330705
3,21,19,0.0,0.1470000000001619,0.0,0.1470000000001619,0.0,0.0,1.0,0.0,0.0,1.2725555555556158,1.2725555555556158,0.0,0.0,1.0
3,21,20,0.0,0.8360000000000127,0.0,0.8360000000000127,0.0,0.0,1.0,0.0,0.0,0.8998888888888689,0.8998888888888689,0.0,0.0,1.0
3,21,21,0.0,0.01999999999998181,0.0,0.01999999999998181,0.0,0.0,1.0,0.0,0.0,0.5028888888887827,0.5028888888887827,0.0,0.0,1.0
3,21,22,0.0,0.3990000000001146,0.0,0.3990000000001146,0.0,0.0,1.0,0.0,0.0,0.2188888888887972,0.2188888888887972,0.0,0.0,1.0
3,21,23,0.0,0.21100000000001273,0.0,0.21100000000001273,0.0,0.0,1.0,0.0,0.0,0.12211111111107836,0.12211111111107836,0.0,0.0,1.0
3,21,34,0.0,0.010999999999967258,0.02999999999974534,0.0409999999997126,0.0,0.7317073170720887,0.26829268292791136,0.0,0.0054444444444420185,0.003222222222221819,0.008666666666663837,0.0,0.6282051282050534,0.37179487179494664
3,21,35,0.0,0.0,0.01900000000023283,0.01900000000023283,0.0,1.0,0.0,0.0,0.006666666666660603,0.0012222222222185845,0.007888888888879187,0.0,0.8450704225354819,0.15492957746451813
